action_no,action_id,action_name,default_time,user_type,prev_dependent
0,,bring_seat_top,,robot,0
1,,hammer,,human,1
2,,hammer,,human,0
3,,hammer,,human,0
4,,hammer,,human,0
5,,bring_back_frame,,robot,0
6,,allen_in,,human,1
7,,allen_in,,human,0
8,,bring_back_slats,,robot,0
9,,screw_in,,human,1
10,,screw_in,,human,0
11,,screw_in,,human,0
12,,screw_in,,human,0
13,,bring_legs,,robot,0
14,,hand_screw_in,,human,1
15,,hand_screw_in,,human,0
16,,hand_screw_in,,human,0
17,,hand_screw_in,,human,0
18,,take_chair,,robot,1
