action_id,action_name,std_dur_s,user_type
0,screw_in,00:00:14.243056,human
1,screw_out,00:00:15,human
2,allen_in,00:00:13.895833,human
3,allen_out,00:00:15,human
4,bring_side_1,00:00:15,robot
5,bring_side_2,00:00:16,robot
6,bring_side_3,00:00:18,robot
7,bring_side_4,00:00:19,robot
8,take_box,00:00:01,robot
9,null,00:00:00,human
10,stack_red_small_block,00:00:25,robot
11,stack_blue_small_block,00:00:25,robot
12,stack_yellow_small_block,00:00:25,robot
13,stack_green_small_block,00:00:25,robot
14,stack_orange_small_block,00:00:25,robot
15,remove_stack,00:00:26,robot
16,home,00:00:05,robot
17,deliver_box,00:00:00,robot
18,hand_screw_in,00:00:16.635417,human
19,hand_screw_out,00:00:03,human
20,hammer,00:00:11.53125,human
21,bring_hand_screw_parts,00:00:15,robot
22,bring_seat_top,00:00:24,robot
23,bring_back_frame,00:00:24,robot
24,bring_back_slats,00:00:24,robot
25,bring_legs,00:00:15,robot
26,take_chair,00:00:01,robot
27,deliver_chair,00:00:00,robot
28,Wave,00:00:00,human
29,Forward,00:00:00,human
30,Backward,00:00:00,human
31,Left,00:00:00,human
32,Right,00:00:00,human
33,Stop,00:00:00,human
34,Null,00:00:00,human
