action_no,action_id,action_name,default_time,user_type,prev_dependent
0,4,bring_side_1,00:00:16,robot,f
1,0,screw_in,00:00:08,human,t
2,0,screw_in,00:00:08,human,f
3,5,bring_side_2,00:00:17,robot,f
4,0,screw_in,00:00:08,human,t
5,0,screw_in,00:00:08,human,f
6,0,screw_in,00:00:08,human,f
7,6,bring_side_3,00:00:18,robot,f
8,0,screw_in,00:00:08,human,t
9,0,screw_in,00:00:08,human,f
10,0,screw_in,00:00:08,human,f
11,7,bring_side_4,00:00:19,robot,f
12,0,screw_in,00:00:08,human,t
13,0,screw_in,00:00:08,human,f
14,0,screw_in,00:00:08,human,f
15,0,screw_in,00:00:08,human,f
16,8,take_box,00:00:01,robot,t
