action_no,action_id,action_name,default_time,user_type,prev_dependent
0,4,bring_side_1,00:00:15,robot,t
1,0,screw_in,00:00:10,human,t
2,0,screw_in,00:00:10,human,t
3,5,bring_side_2,00:00:16,robot,t
4,0,screw_in,00:00:10,human,t
5,0,screw_in,00:00:10,human,t
6,0,screw_in,00:00:10,human,t
7,6,bring_side_3,00:00:17,robot,t
8,0,screw_in,00:00:10,human,t
9,0,screw_in,00:00:10,human,t
10,0,screw_in,00:00:10,human,t
11,7,bring_side_4,00:00:18,robot,t
12,0,screw_in,00:00:10,human,t
13,0,screw_in,00:00:10,human,t
14,0,screw_in,00:00:10,human,t
15,0,screw_in,00:00:10,human,t
16,21,bring_hand_screw_parts,00:00:15,robot,t
17,2,allen_in,00:00:14,human,t
18,2,allen_in,00:00:14,human,t
19,2,allen_in,00:00:14,human,t
20,2,allen_in,00:00:14,human,t
21,18,hand_screw_in,00:00:08,human,t
22,18,hand_screw_in,00:00:08,human,t
23,20,hammer,00:00:05,human,t
24,20,hammer,00:00:05,human,t
25,20,hammer,00:00:05,human,t
26,20,hammer,00:00:05,human,t
27,8,take_box,00:00:01,robot,t
