episode_id,date,start_t,end_t,duration,user_id,hand,task_name,action_name,action_no
1,2022-04-19,16:47:03,16:47:03,00:00:00,1,R,assemble_chair,Wave,0
2,2022-04-19,16:47:11,16:47:12,00:00:01,1,R,assemble_chair,Forward,0
3,2022-04-19,17:47:12.365448,17:47:30.295498,00:00:17.93005,0,-,assemble_chair,bring_seat_top,0
4,2022-04-19,17:47:30.373794,17:47:47.40063,00:00:17.026836,0,-,assemble_chair,bring_back_frame,5
5,2022-04-19,17:47:47.469121,17:48:03.970937,00:00:16.501816,0,-,move_stack,move_stack,0
6,2022-04-19,16:48:14,16:48:14,00:00:00,1,R,assemble_chair,Backward,1
7,2022-04-19,16:48:16,16:48:16,00:00:00,1,R,assemble_chair,Forward,1
8,2022-04-19,17:48:04.155888,17:48:16.874658,00:00:12.71877,0,-,move_stack,move_stack,1
9,2022-04-19,17:48:17.013125,17:48:36.04773,00:00:19.034605,0,-,assemble_chair,bring_back_slats,8
10,2022-04-19,16:47:08,16:48:43,00:01:35,1,R,assemble_chair,null,9
11,2022-04-19,17:48:36.142647,17:48:52.62502,00:00:16.482373,0,-,move_stack,move_stack,2
12,2022-04-19,16:48:44,16:48:52,00:00:08,1,R,assemble_chair,screw_in,9
13,2022-04-19,16:48:53,16:48:56,00:00:03,1,R,assemble_chair,null,10
14,2022-04-19,17:48:52.75157,17:49:05.46375,00:00:12.71218,0,-,move_stack,move_stack,3
15,2022-04-19,16:48:57,16:49:06,00:00:09,1,R,assemble_chair,screw_in,10
16,2022-04-19,17:49:05.621051,17:49:09.519905,00:00:03.898854,0,-,,home,
17,2022-04-19,16:49:06,16:49:09,00:00:03,1,R,assemble_chair,Stop,11
18,2022-04-19,16:49:06,16:49:21,00:00:15,1,R,assemble_chair,null,11
19,2022-04-19,16:49:22,16:49:34,00:00:12,1,R,assemble_chair,screw_in,11
20,2022-04-19,16:49:35,16:49:37,00:00:02,1,R,assemble_chair,null,12
21,2022-04-19,16:49:38,16:49:43,00:00:05,1,R,assemble_chair,screw_in,12
22,2022-04-19,16:49:43,16:49:44,00:00:01,1,R,assemble_chair,Forward,13
23,2022-04-19,17:49:44.588942,17:49:59.67334,00:00:15.084398,0,-,assemble_chair,bring_legs,13
24,2022-04-19,16:49:44,16:50:13,00:00:29,1,R,assemble_chair,null,14
25,2022-04-19,17:49:59.761545,17:50:16.164191,00:00:16.402646,0,-,move_stack,move_stack,4
26,2022-04-19,16:50:13,16:50:15,00:00:02,1,R,assemble_chair,hand_screw_in,14
27,2022-04-19,16:50:16,16:50:18,00:00:02,1,R,assemble_chair,null,15
28,2022-04-19,16:50:19,16:50:19,00:00:00,1,R,assemble_chair,hand_screw_in,15
29,2022-04-19,17:50:16.343513,17:50:28.676174,00:00:12.332661,0,-,move_stack,move_stack,5
30,2022-04-19,17:50:28.789462,17:50:32.683233,00:00:03.893771,0,-,,home,
31,2022-04-19,16:50:39,16:50:40,00:00:01,1,R,assemble_chair,Wave,16
32,2022-04-19,16:50:43,16:50:44,00:00:01,1,R,assemble_chair,Left,18
33,2022-04-19,17:50:43.762771,17:50:58.578715,00:00:14.815944,0,-,assemble_chair,deliver_chair,18
34,2022-04-19,17:50:58.657499,17:51:17.281524,00:00:18.624025,0,-,move_stack,move_stack,6
